abażur lampshade
abdykacja abdication
abecadło alphabet
abiogeneza abiogenesis
abiturientka matriculant
abiturient matriculant
abominacja abomination
abonenci subscribers
abonent subscriber
aborcja abortion
aborygen aborigine
Abraham Abraham
absencja absence
absolucja absolution
absolwent graduate
absorbować absorb
absorpcja absorption
abstrakcja abstraction
abstynencja abstinence
absurdalność absurdity
absurdalny absurd
absurd absurdity
absurd nonsense
absynt absinthe
acerola acerola
aceton acetone
acetylen acetylene
aczkolwiek although
adagio adagio
adamaszek damask
adaptacja adaptation
adekwatny adequate
adekwatny appropriate
administrator administrator
adnotacja annotation
adoptowany adopted
adoratorka admirer
adorator admirer
adresaci addressees
adresatki addressees
adresat addressee
adresat receiver
adres address
adresy addresses
Adriatyk Adriatic
adwokatka barrister
adwokat barrister
aerobikowy aerobic
aerobik aerobics
aerodynamiczny aerodynamic
aeronautyczny aeronautical
aeronautyka aeronautics
aerozol aerosol
afazja aphasia
afekt affect
afera affair
afereza aphaeresis
aferysta swindler
aferzystka swindler
Afganistan Afghanistan
Afganka Afghan
afirmacja affirmation
afisz poster
afrodyzjak aphrodisiac
Afrykanin African
Afryka Africa
agat agate
agenci agents
agencja agency
agent agent
agitacja agitation
agitator agitator
agnostycyzm agnosticism
agnostyczny agnostic
agogika agogics
agonia agony
agorafobia agoraphobia
agrarny agrarian
agregacja aggregation
agresor aggressor
agresywny aggressive
agresywny bellicose
agresywny belligerent
agronomia agronomy
agronomiczny agronomic
akademia academy
akademicki academic
akcent accent
akces accession
akcja action
akcje shares
akcyza excise
aklamacja acclamation
aklimatyzacja acclimatization
akordeon accordion
akord chord
akredytacja accreditation
akrobatyczny acrobatic
akrobatyka acrobatics
akromegalia acromegaly
akronim acronym
akrylowy acrylic
aksamitny velvet
aksamit velvet
aksjomatyczny axiomatic
aksjomat axiom
aktorka actress
aktualizacja update
aktualizacja upgrade
aktualnie currently
aktywacja activation
aktywnie actively
aktywny active
aktywowanie activation
aktówka briefcase
akumulacja accumulation
akupresura acupressure
akupunktura acupuncture
akurat exactly
akustyczny acoustic
akuszerka midwife
akwakultura aquaculture
akwarium aquarium
Akwizgran Aachen
Alaska Alaska
Albania Albania
albatros albatross
albinos albino
albo or
albumina albumin
aldehyd aldehyde
ale but
alegoria allegory
alegoryczny allegorical
alejka alley
alfabet alphabet
algebraiczny algebraic
algebraiczny algebraical
algebra algebra
Algieria Algeria
algierski Algerian
algorytm algorithm
aliancki allied
aliant ally
alias alias
alienacja alienation
aligator alligator
alimenty alimony
aliteracja alliteration
aliteracyjny alliterative
alkaliczny alkaline
alkaloid alkaloid
alkan alkane
alkoholizm alcoholism
alkoholowy alcoholic
allegro allegro
alpejski alpine
alpinista mountaineer
alpinistyka mountaineering
alrauna mandrake
altruistyczny altruistic
altruizm altruism
altówka viola
aluzja hint
alzacki Alsatian
amalgamat amalgam
amarantowy amaranth
amatorski amateurish
amatorstwo amateurishness
amator amateur
ambasada embassy
ambasador ambassador
ambicja ambition
ambitnie ambitiously
ambitny ambitious
ambiwalencja ambivalence
ambiwalentny ambivalent
ambona pulpit
ambra ambergris
ambulans ambulance
ameba amoeba
amen Amen
Ameryka America
ametyst amethyst
amfetamina amphetamine
amfora amphora
amnestia amnesty
amnestia pardon
amnezja amnesia
amniocenteza amniocentesis
amplituda amplitude
amputacja amputation
ampułka ampoule
Amsterdam Amsterdam
amunicja ammunition
anabolizm anabolism
anachronistyczny anachronistic
anachronizm anachronism
anafilaksja anaphylaxis
anafilaktyczny anaphylactic
anagram anagram
analfabetyzm illiteracy
analgezia analgesia
analityk analyst
analiza analysis
analogiczny analogical
analogiczny analogous
anarchia anarchy
anarchistyczny anarchistic
anastomoza anastomosis
anatomia anatomy
anatomiczny anatomic
anatomiczny anatomical
andante andante
Andora Andorra
andorski Andorran
andrut waffle
anegdota anecdote
anegdotyczny anecdotal
aneksja annexation
anemia anaemia
anemiczny anaemic
anemometr anemometer
Angielka Englishwoman
angina tonsillitis
angiografia angiography
Anglia England
anglikanizm Anglicanism
Angola Angola
anhydryt anhydrite
anielski angelic
ani neither
anioł angel
ankieta questionnaire
ankietowany respondent
anoda anode
anonimowo anonimously
anonimowość anonimity
anonimowy anonimous
anons announcement
anoreksja anorexia
anorektyczny anorexic
antagonista antagonist
antagonistycznie antagonistically
antagonistyczny antagonistic
antagonizm antagonism
Antarktyda Antarctic
antałek cask
antenat ancestor
antena aerial
antologia anthology
antracyt anthracite
antrakt intermission
antrasola mezzanine
antropologia anthropology
antropologiczny anthropologic
antropologiczny anthropological
antropomorficzny anthropomorphic
antropomorfizacja anthropomorphism
antropomorfizm anthropomorphism
Antwerpia Antwerp
antybiotyk antibiotic
antycyklon anticyclone
antycypacja anticipation
antyczny ancient
antyczny antique
antyklimaks anticlimax
antykoagulant anticoagulant
antykoncepcja contraception
antykoncepcyjny contraceptive
antykonwulsyjny anticonvulsive
antylopa antelope
antypatia antipathy
antypatyczny antipathetic
antypatyczny repugnant
antypatyczny unpleasant
antyperspirant antiperspirant
antyseptyczny antiseptic
antyseptyk antiseptic
antyteza antithesis
anulacja cancellation
anulowanie cancellation
anyżowy aniseed
anyż aniseed
aorta aorta
aparat apparatus
apatia apathy
apatycznie apathetically
apatycznie listlessly
apatyczny apathetic
apelacja appeal
apel assembly
apel parade
apetyczny appetizing
apetyczny tasty
apetyt appetite
aplauz applause
aplazja aplasia
aplikacja application
apogeum apogee
apokalipsa apocalypse
apokryficzny apocryphal
apopleksja apoplexy
apoplektyczny apoplectic
apostazja apostasy
apostolic apostolski
apostrof apostrophe
aprobata approval
apteczny pharmaceutical
apteka drugstore
arabski Arabian
arabski Arabic
arachnofobia arachnophobia
arachnologia arachnology
aranżer organizer
arbitraż arbitrage
arbitraż arbitration
archaiczny archaic
archanioł archangel
archeologiczny archaeological
archidiecezja archdiocese
archipelag archipelago
architektoniczny architectural
architektura architecture
archiwum archive
arcydzieło masterpiece
arena arena
Argentyna Argentina
aria aria
ariergarda rearguard
arkada arcade
armata cannon
armia army
arogancja arrogance
arogancki arrogant
arogancko arrogantly
aromaterapia aromatherapy
aromatyczny aromatic
aromatyczny fragrant
aromat aroma
aromat fragrance
aronia chokeberry
arras tapestry
arsenał arsenal
artretyzm arthritis
artykulacja articulation
artyleria artillery
artystyczny artistic
artyzm artistry
arystokracja aristocracy
arystokrata aristocrat
arystokrata nobleman
arystokratyczny aristocratic
arytmetyczny arithmetic
arytmetyka arithmetic
ascendent ascendant
asceta ascetic
ascetyczny ascetic
asceza ascesis
asceza asceticism
asekuracja insurance
asekuracja protection
asekuracja safeguard
asfaltowy asphalt
asfalt asphalt
asonans assonance
aspiryna aspirin
astmatyczny asthmatic
astmatyk asthmatic
astma asthma
astrobiologia astrobiology
astrobiologiczny astrobiological
astrofizyka astrophysics
astrologia astrology
astronomia astronomy
astygmatyczny astigmatic
astygmatyzm astigmatism
asymilacja assimilation
Asyria Assyria
asyryjski Assyrian
atak assault
atak attack
ateistyczny atheistic
ateizm atheism
atelier studio
atest certificate
atest certification
atletyczny athletic
atmosfera atmosphere
atmosferyczny atmospheric
atrakcja attraction
atrakcyjność attractiveness
atrakcyjny attractive
atrament ink
atrofia atrophy
atut asset
audiologia audiology
audyt audit
aukcja auction
aureola halo
Australazja Australasia
Australia Australia
australijski Australian
austriacki Austrian
Austria Austria
autentycznie authentically
autentycznie genuinely
autentyczność authenticity
autentyczny authentic
autentyczny genuine
autobiografia autobiography
autobiograficzny autobiographical
autobus bus
autogiro autogyro
autograf autograph
autohipnoza autohypnosis
autoimmunizacja autoimmunity
autokracja autocracy
autokratyczny autocratic
automatyczny automatic
automatyzacja automation
automatyzacja automatisation
autonomia autonomy
autonomiczny autonomous
autopsja autopsy
autorytarność authoritarianism
autorytatywny authoritative
autorytet authority
autoryzacja authorization
autosugestia autosuggestion
auto vehicle
autożyro autogiro
autystyczny autistic
autyzm autism
awanturnik troublemaker
awaria breakdown
awersja aversion
awers obverse
azalia azalea
azbestowy asbestos
azbest asbestos
Azerbejdżanin Azerbaijani
Azerbejdżan Azerbaijan
azjatycki Asian
Azja Asia
azotowy nitrogen
azyl asylum
azyl refuge
azyl sanctuary
babcia grandmother
Babilon Babylon
baczki whiskers
badacz researcher
badany audited
badminton badminton
bagatela bagatelle
bagaż baggage
bagaż luggage
bagietka baguette
bagnet bayonet
bagnisty marshy
bagno marsh
bagno moor
bagno swamp
bajeczny magical
bajka fable
bajoro puddle
bajt byte
bakteria bacterium
bakteriobójczy bactericidal
bakteriobójczy germicidal
bakteriologia bacteriology
bakteriologiczny bacteriological
bakteryjny microbial
balans balance
balast ballast
baletnica ballerina
balet ballet
balistyka ballistics
balkon balcony
ballada ballad
balon balloon
balsam lotion
balustrada railing
bambosz slipper
bambusowy bamboo
bambus bamboo
bananowy banana
banan banana
banał banality
banałny banal
banałny trivial
banał platitude
banda gang
bandaż bandage
bandycki bandit
bandycki criminal
bandyta bandit
bandyta mugger
bandyta robber
