carewicz tsarevitch
carowa tsarina
caryca tsaritsa
car czar
car tsar
całka integral
całkowicie completely
całkowicie utterly
całkowity entire
całość totality
całun pall
całun shroud
całus kiss
cały all
cały entire
cały whole
cebula onion
cebulka bulb
cecha feature
cechy features
cech guild
cedr cedar
cedzak colander
cegła brick
cekin sequin
cele purposes
celibat celibacy
celność accuracy
celność precision
celowy purposeful
celtycki Celtic
celuloza cellulose
cel aim
cel purpose
cel target
cementowanie cementing
cementowy cement
cement cement
cena price
cenny precious
cenny treasured
cenny valuable
cenotaf cenotaph
centaur Centaur
centralnie centrally
centralny central
cenzor censor
cenzurowanie censorship
ceremonia ceremony
cesarstwo empire
cesarz emperor
cetnar centner
cewnik catheter
chaber cornflower
Chanuka Hanukkah
chaos chaos
chaotyczny chaotic
charakterystyczny characteristic
charakterystyczny distinctive
charakterystyczny specific
charakter character
chart greyhound
charytatywny benevolent
charytatywny charitable
chasydyzm Chasidism
chasydyzm Hasidism
chata hut
chat chat
chałupa shack
chciwość avarice
chciwy avaricious
chciwy covetous
chciwy greedy
chemia chemistry
chemioterapia chemotherapy
Chile Chile
chiliazm chiliasm
chilijski Chilean
chinina quinine
chiromancja chiromancy
chiromancja palmistry
chleb bread
chlew pigsty
chlorek chloride
chlorofilowy chlorophyll
chlorofil chlorophyll
chlorowanie chlorination
chlubny estimable
chlubny illustrious
chmura cloud
chmurka cloudlet
chochla ladle
chochlik goblin
chochoł mulch
chociaż although
cholera cholera
chomik hamster
choreografia choreography
choreograficzny choreographic
choroba illness
chorobotwórczy pathogenic
chorowity sickly
Chorwacja Croatia
chorwacki Croat
chory ill
chory sick
choć although
chrapanie snore
chromosom chromosome
chroniczny chronic
chronologia chronology
chronologicznie chronologically
chronologiczny chronologic
chronologiczny chronological
chronometr chronometer
chrupki crunchy
chrust brushwood
chryzantema chrysanthemum
chrzan horseradish
chrzest baptism
chrześnica goddaughter
chrząstka gristle
chrząszcz beetle
chrząszcz bug
chudy lanky
chudy skinny
chwalebny laudable
chwalebny praiseworthy
chwast weed
chwiejność instability
chwila while
chwilowo currently
chwilowy momentary
chytrze craftily
chód gait
chór choir
chętnie gladly
chętnie willingly
chętny eager
chętny willing
chłodny chilly
chłodny cool
chłodziwo coolant
chłonny absorbent
chłopak lad
chłopcy boys
chłopięcy boyish
chłopstwo peasantry
ciastko cake
ciastowaty doughy
ciasto cake
ciało body
cicho quietly
cicho silently
cichy quiet
cichy silent
ciecz fluid
ciekawie curiously
ciekawy curious
cielęcina veal
cielę calf
ciemność darkness
ciemny dark
cienisty shady
cienki thin
ciepło warmly
ciepło warmth
ciepły warm
cierpienie grief
cierpienie suffering
cierpliwie patiently
cierpliwość patience
cierpliwy patient
cieśnina strait
ciocia aunt
ciotka aunt
cisza silence
cis yew
ciągle constantly
ciągle continuously
ciąża pregnancy
ciążenie gravity
cięciwa chord
ciężar heaviness
ciężarówka truck
ciężki heavy
ciężko heavily
ciężkość gravity
cmentarz cemetery
cmentarz graveyard
cnota virtue
codzienny daily
cogodzinny hourly
cokół pedestal
coleslaw coleslaw
cosecans cosecant
cosinus cosine
cotangens cotangent
cudowny gorgeous
cudowny marvellous
cudowny wonderful
cudzoziemski alien
cud marvel
cud miracle
cugiel rein
cugle reins
cukier sugar
cukrowy sugar
cukrzyca diabetes
cukrzycowy diabetic
cukrzyk diabetic
cwany sly
cybernetyka cybernetics
cyberprzemoc cyberbullying
cyberprzestępczość cybercrime
cyberprzestępstwo cybercrime
cyberwojna cyberwar
cydr cider
cyfra digit
cyfra numeral
cyfrowy digital
cyfryzacja digitization
Cygan Gipsy
cygaro cigar
cykada cicada
cykliczny cyclic
cykloalkany cycloalkanes
cyklobutan cyclobutane
cykloheksan cyclohexane
cykloniczny cyclonic
cyklonowy cyclonic
cyklon cyclone
cyklopentan cyclopentane
cyklopropan cyclopropane
cylinder cylinder
cylindryczny cylindrical
cynamon cinnamon
cynfolia tinfoil
cynicznie cynically
cyniczność cynicism
cyniczny cynical
cynik cynic
cynizm cynicism
