echokardiografia echocardiography
echokardiograficzny echocardiographic
echokardiograf echocardiograph
echo echo
Edynburg Edinburgh
efedryna ephedrine
efektywność effectiveness
efektywny efficient
egalitaryzm egalitarianism
egipski Egyptian
egiptologia Egyptology
egiptologiczny Egyptological
Egipt Egypt
egocentryczny egocentric
egocentryk egocentric
egoista egoist
egoistyczny egoistic
egzemplarz copy
egzorcyzm exorcism
egzotyczny exotic
egzystencjalizm existentialism
egzystencjalny existentialist
egzystencja existence
eikozan eicosane
eikozan icosane
ekologia ecology
ekologiczny ecological
ekolog environmentalist
ekonomicznie economically
ekran screen
ekscytacja excitement
ekscytujący exciting
ekshibicjonista exhibitionist
ekshumacja exhumation
ekskomunika excommunication
ekspansja expansion
ekspatriacja expatriation
ekspedycja expedition
ekspert expert
eksperymentalny experimental
eksperyment experiment
ekspiacja expiation
eksploatacja exploitation
eksplozja explosion
eksport export
ekstradycja extradition
ekstrapolacja extrapolation
ekstrawertyk extrovert
ekstremizm extremism
ekstremum extremum
ektoplazma ectoplasm
Ekwador Equador
elastyczność flexibility
elastyczny elastic
elastyczny flexible
elegancja elegance
elegancki elegant
elegancko elegantly
elekcja election
elektroda electrode
elektrokardiografia electrocardiography
elektrokardiogram electrocardiogram
elektrolit electrolyte
elektroliza electrolysis
elektroniczny electronic
elektron electron
elektrycznie electrically
elektryczność electricity
elektryczny electric
elektryfikacja electrification
elf elf
elipsa ellipse
elongacja elongation
emancypacja emancipation
embargo embargo
embriogeneza embryogenesis
embriogenia embryogeny
embriologia embryology
embrionalny embryonic
emigracja emigration
emigrant emigrant
emigrujący emigrant
emirat emirate
emir emir
emisja emission
emocja emotion
emocjonalnie emotionally
emocjonalny emotional
empatia empathy
empiryczny empirical
empiryk empiricist
empiryzm empiricism
emulacja emulation
emulsja emulsion
emulsyfikacja emulsificatiton
encyklika encyclic
endemiczny endemic
endogeniczny endogenic
endokrynologia endocrinology
endokrynologiczny endocrinological
endometrioza endometriosis
endoskopia endoscopy
endoskopowo endoscopically
endoskopowy endoscopic
endoskop endoscope
energia energy
energiczny energetic
energiczny vigorous
entomologia entomology
entuzjastyczny enthusiastic
enzym enzyme
epidemia epidemic
epidemiczny epidemic
epidemiologia epidemiology
epilepsja epilepsy
epileptyczny epileptic
episkopat episcopacy
episkopat episcopate
epistolografia epistolography
epitafium epitaph
epoka period
epoki epochs
epolet epaulette
eradykacja eradication
erotyczny erotic
erudycja erudition
erudycyjny erudite
erupcja eruption
Erytrea Eritrea
erytrocyt erythrocyte
eskalopek escalope
eskapada escapade
Eskimos Eskimo
Estonia Estonia
estopel estoppel
etiopski Ethiopian
etnologia ethnology
etnologiczny ethnological
etymologia etymology
eucharystia Eucharist
euforia euphoria
eugenika eugenics
eukaliptusowy eucalyptus
eurazjacki Eurasian
Eurazja Eurasia
eurodolar Eurodollar
Europa Europe
europejski European
eutanazja euthanasia
ewangelia gospel
ewaporacja evaporation
ewentualnie alternatively
ewentualnie perhaps
ezoteryczny esoteric
ezoteryka esotericism
fabrykacja fabrication
fabryka factory
facet fellow
fajerwerki fireworks
faktura invoice
faktycznie indeed
faktyczny actual
fakt fact
fala wave
falisty wavy
falochron breakwater
fanaberia fad
fanaberia whim
fanatyzm fanaticism
fantastyczny fabulous
fantastyczny fantastic
fantazja fancy
faraon pharaoh
farmakologicznie pharmacologically
farmakologiczny pharmacological
farma farm
fartuch apron
fartuch pinafore
fascynacja fascination
fascynujący fascinating
fasola bean
faszystowski fascist
faszyzm fascism
fatamorgana mirage
faul foul
faza phase
fałda fold
fałd fold
fałszerstwo forgery
fałszywość falsity
fałszywy bogus
fałszywy false
federacja federation
federalnie federally
feler defect
felga rim
feministka feminist
feministyczny feminist
feminizm feminism
feniks phoenix
fenologia phenology
fenomen phenomenon
fermentacja fermentation
fermionowy fermionic
festiwal festival
feudalizm feudalism
feudalny feudal
fez fez
fiasko fiasco
fibrynoliza fibrinolysis
Fidżi Fiji
figa fig
figiel prank
filantropia philanthropy
filantropijny philanthropic
filantrop philanthropist
filatelista philatelist
filatelistyka philately
filigran watermark
filiżanka cup
filmowiec filmmaker
filologia philology
filozofia philosophy
filozoficznie philosophically
filozoficzny philosophical
filtracja filtration
filtrowanie filtration
filtr filter
Finlandia Finland
fioletowy violet
fiołek violet
fiołkowy violet
firanki curtains
fizjoterapia physiotherapy
fizyka physics
flaga flag
flamberg flamberge
flet flute
Floryda Florida
flota fleet
flotylla flotilla
fluktuacja fluctuation
fluorescencja fluorescence
fluorescencyjny fluorescent
fluoroza fluorosis
flądra plaice
foka seal
foremny regular
formalnie formally
formalność formality
formalny formal
format format
forteca fortress
fortyfikacje fortifications
fosa moat
fotel armchair
fotogeniczny photogenic
fotograficzny photographic
fotografie photographs
fotosfera photosphere
fotosynteza photosynthesis
frachtowiec freighter
fragment fragment
Francja France
franszyza franchise
fraternizacja fraternization
fraza phrase
frazes platitude
fregata frigate
frenetyczny frenetic
frenologia phrenology
fretka ferret
fronda Fronde
front front
fruktoza fructose
frustracja frustration
fryz frieze
fumigacja fumigation
fundamentalny fundamental
fundusz fund
funkcja function
furia fury
futerkowy furbearing
futro fur
fuzja merger
