ichtiologia ichthyology
idea concept
identyczny identical
identyfikacja identification
ideologia ideology
ideologiczny ideological
ideolog ideologist
ideolog ideologue
idiomatyczny idiomatic
idiom idiom
idiotyczny asinine
idiotyczny idiotic
idiotyzm idiocy
idol idol
iglica spire
iglica steeple
igloo igloo
igła needle
ikona icon
ikonoklastyczny iconoclastic
ilekroć whenever
iloczyn product
iloraz quotient
ilość quantity
iluminator porthole
ilustracja illustration
ilustrator illustrator
imadło clamp
imbir ginger
imigracja immigration
imitacja imitation
imię forename
immunologia immunology
imperator emperor
imperialny imperial
imperium empire
impertynencja impertinence
impertynencko impertinently
implikacja implication
imponujący impressive
import import
impreza party
improwizacja improvisation
impulsywnie impulsively
inaczej otherwise
inauguracja inauguration
Indonezja Indonesia
indonezyjski Indonesian
indyk turkey
indywidualista individualist
indywidualista maverick
indywidualność individuality
indywidualny individual
infekcja infection
inflacja inflation
informatyka informatics
inicjatywa initiative
inkubator incubator
innowacja innovation
innowacje innovations
innowierstwo heresy
innowierstwo heterodoxy
inny different
inny other
insekt insect
inspekcja inspection
inspiracja inspiration
inspirujący inspiring
instrument instrument
instytucja institution
insulina insulin
insurekcja insurrection
inteligentny bright
inteligentny intelligent
intencja purpose
intensyfikacja intensification
intensywność intensity
intensywny intensive
interakcja interaction
interaktywny interactive
interesowny mercenary
interesujący interesting
interferencja interference
internetowy internet
Internet Internet
interpunkcja punctuation
interwał interval
introligatorstwo bookbinding
introwertyk introvert
intruz intruder
intryga intrigue
intuicja intuition
intuicyjnie intuitively
intuicyjny intuitive
inulina inulin
inwazja invasion
inwektywa invective
inwentaryzacja stocktaking
inwentarz inventory
inwestowanie investment
inwestycja investment
inżynieria engineering
inżynier engineer
iracki Iraqi
irakijski Iraqi
Irak Iraq
Iran Iran
Irlandia Ireland
Irlandka Irishwoman
irlandzki Irish
ironia irony
ironicznie ironically
ironiczny ironic
irracjonalny irrational
irygacja irrigation
irytujący annoying
irytujący irritating
iskra spark
iskrownik magneto
islamski Islamic
islam Islam
Islandia Iceland
islandzki Icelandic
istnienie existence
istotny essential
istotny significant
istotny substantial
izba chamber
izba office
izobara isobar
izobaryczny isobaric
izogonalny isogonal
izohieta isohyet
izomeria isomerism
izomer isomer
izometryczny isometric
izomorficzny isomorphic
izomorficzny isomorphous
izostatyczny isostatic
izoterma isotherm
izotop isotope
Izrael Israel
iście actually
iście really
iście truly
jacht yacht
jad poison
jad venom
jadłospis menu
jagoda berry
jajko egg
jak how
jak like
jakoś somehow
jakość quality
Jamajka Jamaica
jamajski Jamaican
jamnik dachshund
jansenizm Jansenism
jaskier buttercup
jaskinia cave
jaskinia lair
jaskra glaucoma
jaskółka swallow
jasny pale
jastrząb hawk
jaszczurka lizard
jatka massacre
jawajski Javanese
Jawa Java
jawny overt
Jaworzno Jaworzno
Jazon Jason
jazzowy jazz
jazz jazz
jałowcowy juniper
jałówka heifer
jednak anyway
jednak however
jednak notwithstanding
jednakowo equally
jednakże however
jednakże nonetheless
jednocześnie simultaneously
jednojęzykowy monolingual
jednolitość uniformity
jednomyślnie unanimously
jednopłatowiec monoplane
jednorodność uniformity
jednorodny homogeneous
jednorożec unicorn
jedność unity
jedwabny silk
jedwabny silky
jedynie only
jedyny sole
jelito intestine
jemioła mistletoe
Jerozolima Jerusalem
jesienny autumnal
jeszcze still
jeszcze yet
jezioro lake
jeśli if
jeździecki equestrian
jeździectwo horseriding
jeździec equestrian
jeżeli if
jeżozwierz porcupine
joga yoga
Jokohama Yokohama
jonosfera ionosphere
jowialność joviality
jowialny jovial
Jowisz Jupiter
jubileusz anniversary
jubileusz jubilee
judaizm Judaism
Judea Judea
jurta yurt
jurysdykcja jurisdiction
juta jute
jutro tomorrow
już already
już yet
językoznawstwo linguistics
język language
