oaza oasis
obawa trepidation
obcisły tight
obcokrajowiec foreigner
obcy strange
obecnie currently
obecny contemporary
obelga insult
obficie abundantly
obfitość abundance
obfity abundant
obfity ample
obiad lunch
obie both
obietnica promise
objaw indication
objaw manifestation
objaw symptom
objazd bypass
objazd detour
objęcie embrace
obligatoryjny compulsory
oblężenie siege
obniżony abated
obojętność indifference
obojętny indifferent
obok nearby
obopólny mutual
obopólny reciprocal
obora cowshed
obostrzenie restriction
obowiązek obligation
obowiązek responsibility
obowiązkowy compulsory
obowiązkowy mandatory
obraza indignation
obraza invective
obrazoburczy iconoclastic
obraz picture
obraźliwy abusive
obraźliwy offensive
obrażenie injury
obronnie defensively
obronny defensive
obrotomierz tachometer
obroty turnover
obrus tablecloth
obrzydliwy abominable
obrzydliwy disgusting
obrzydliwy horrible
obrzydzenie disgust
obrzydzenie revulsion
obrót revenue
obręcz hoop
obserwacja observation
obsesja obsession
obskurny shabby
obszerny extensive
oburzenie indignation
oburzony indignant
obustronny mutual
obustronny reciprocal
obwód circumference
obwód perimeter
obywatelstwo citizenship
obój oboe
obława manhunt
obłuda duplicity
obłudny duplicitous
obłudny hypocritical
obłąkany lunatic
obłęd insanity
ocalenie rescue
Oceania Oceania
oceaniczny oceanic
oceanografia oceanography
oceanologia oceanology
ocean ocean
ocena assessment
ocet vinegar
ochoczy eager
ochotnik volunteer
ochrona protection
ochrona security
ochrypły hoarse
octowy acetic
oczekiwanie anticipation
oczekiwanie expectation
oczekiwany expected
oczywisty evident
oczywisty obvious
oczywiście obviously
odbiorca consignee
odbiorca recipient
oddech breath
oddychanie breathing
odejmowanie subtraction
odezwa proclamation
odizolowany isolated
odkrycie discovery
Odkupiciel Redeemer
odkupienie redemption
odległość distance
odległy remote
odmiana inflection
odmiana ugation
odmienny disparate
odmowa denial
odmowa refusal
odmowa rejection
odmrożenie chilblain
odmrożenie frostbite
odniesienie reference
odosobnienie isolation
odosobnienie seclusion
odporność immunity
odpowiadający corresponding
odpowiedni appropriate
odpowiednik counterpart
odpowiednik equivalent
odpowiednio appropriately
odpowiednio properly
odpowiednio respectively
odpowiedni proper
odpowiedzialność liability
odpowiedzialność responsibility
odpowiedzialny responsible
odpowiedź answer
odpowiedź reply
odpływ drain
odra measles
odrażająco repulsively
odrażający abominable
odrażający repugnant
odrażający repulsive
odrobinę slightly
odroczenie adjournment
odroczenie postponement
odruch instinct
odruch reaction
odruch reflex
odrzucenie refusal
odrzucenie rejection
odrzucenie repudiation
odrębność individuality
odsetki interest
odstępstwo apostasy
odstęp interval
odstęp space
odszkodowanie compensation
odszkodowanie indemnity
odszyfrowywanie decryption
odwaga courage
odważny bold
odważny brave
odważny courageous
odwet retaliation
odwilż thaw
odwodnienie dehydration
odwodnienie desiccation
odwołanie appeal
odwołanie cancellation
odwracalnie reversibly
odwracalny reversible
odwrotnie conversely
odznaka badge
odżywianie nutrition
oferta offer
oficjalnie officially
oftalmia ophthalmia
ogarek stub
ogar hound
ogier stallion
ognioodporny fireproof
ognisko bonfire
ognisko campfire
ognisty fiery
ogon tail
ograniczający restrictive
ograniczenie constraint
ograniczenie limitation
ograniczenie restriction
ogrodnik gardener
ogromny enormous
ogromny huge
ogromny immense
ogromny mammoth
ogromny massive
ogromny titanic
ogromny tremendous
ogrom immensity
ogrzewanie heating
ogród garden
ogólnie generally
ogólnokrajowy nationwide
ogólnoświatowy worldwide
ogłoszenie announcement
ogłuszający deafening
ohydny abominable
ohydny repulsive
ojczym stepfather
ojczyzna homeland
okaleczenie mutilation
okazja opportunity
okazjonalnie occasionally
okazyjnie occasionally
oklaski applause
oklepany trite
okno window
okolica locality
okolica region
okoliczności circumstances
około about
około roughly
okres period
określenie definition
okropnie awfully
okropnie terribly
okropność atrocity
okropny atrocious
okropny awful
okropny horrible
okropny horrid
okropny terrible
okrutny cruel
okrzemka diatom
okrąg circle
okrągły round
okrążenie encirclement
okręg district
oksydacja oxidation
oksydacja oxidization
oksymoron oxymoron
oktadekan octadecane
oktan octane
okulary glasses
okular eyepiece
okulistyka ophthalmology
okup ransom
olbrzymi giant
olbrzymi immense
olbrzymi tremendous
olej oil
