rabinat rabbinate
rabunek robbery
rabuś mugger
rabuś robber
rachunek invoice
racjonalizacja rationalization
racjonalizm rationalism
raczej rather
radarowy radar
radar radar
rada ice
radioaktywność radioactivity
radiografia radiography
radioizotop radioisotope
radiokomunikacja radiocommunication
radiologia radiology
radiologiczny radiological
radiolokacja radiolocation
radionawigacja radionavigation
radioterapia radiotherapy
radio radio
Radom Radom
radosny cheerful
radosny exhilarating
radosny jolly
radosny joyful
radosny joyous
radosny merry
radośnie gladly
radośnie happily
radośnie joyfully
radość delight
radość exhilaration
radość joy
radża rajah
rajski blissful
rajski heavenly
raj paradise
rakieta rocket
rakotwórczy cancerogenic
rakotwórczy carcinogenic
rak cancer
ramadan Ramadan
rama frame
ramię arm
rana wound
ranga rank
ranny early
ranny injured
ranny wounded
rano morning
raport report
rapsodia rhapsody
raptownie abruptly
rasistowski racist
rasizm racism
rasowo racially
rasowy racial
ratyfikacja ratification
razem together
raz once
rdza corrosion
realista realist
realistycznie realistically
realistyczny realistic
realizm realism
realny real
reasumpcja recapitulation
rebeliant rebel
rebelia rebellion
recepta prescription
recesja recession
recydywista recidivist
redukcja reduction
reelekcja reelection
referendum referendum
reformacja Reformation
reformator reformer
reforma reformation
refrakcja refraction
refren refrain
refundacja refund
regał shelf
regionalnie regionally
regionalny local
regionalny provincial
regionalny regional
region region
regresja regression
regularnie regularly
reguła rule
reguły rules
rehabilitacja rehabilitation
reinkarnacja reincarnation
rejestracja registration
rejs cruise
rekalkulacja recalculation
rekin shark
reklamacja reclamation
reklamaertisement
reklamaertising
reklama commercial
rekomendacja recommendation
rekompensata amends
rekompensata compensation
rekompensata indemnification
relacja relation
relaks recreation
relaks relaxation
relatywizm relativism
rencista pensioner
renifer reindeer
renoma renown
renowacja renovation
renta pension
rentowność profitability
Ren Rhine
repatriacja repatriation
reperkusja repercussion
repertuar repertoire
replika replica
represja repression
reprezentacja representation
reprezentant representative
reprezentatywny representative
reprymenda reprimand
reputacja reputation
requiem requiem
resocjalizacja resocialization
respektowany respected
restauracja restaurant
restrykcja restriction
resztka remainder
resztka residue
retoryczny rhetorical
retoryka rhetoric
reumatologia rheumatology
reumatyczny rheumatic
reumatyzm rheumatism
reunifikacja reunification
rewelacja sensation
rewia revue
rewolta mutiny
rewolta revolt
rewolucjonista revolutionary
rewolucyjny revolutionary
rewolwer revolver
rezerwacja booking
rezerwacja reservation
rezerwa provision
rezerwista reservist
rezydencia residence
reżim regime
riksza rickshaw
robak worm
rocznica anniversary
rocznie annually
rodowód ancestry
rodowód lineage
rodowód pedigree
rodzaj gender
rodzaj kind
rodzaj sort
rodzice parents
rodzicielstwo parenthood
rodzina family
rodzynek raisin
rodzynka raisin
rogalik croissant
rogówka cornea
rolnictwo agriculture
rolniczy agricultural
romb rhombus
rondel saucepan
ropa pus
ropucha toad
rosa dew
Rosja Russia
rosnący growing
rosyjski Russian
roszczenie pretension
rotograwiura rotogravure
rowek groove
rowerowy bicycle
rowerzysta cyclist
rower bicycle
rozbieżność discrepancy
rozbieżność divergence
rozbiórka demolition
rozbrykany frisky
rozbój mugging
rozchód expenditure
rozczarowanie disappointment
rozczochrany dishevelled
rozdrażnienie huffiness
rozdzielny separate
rozejm armistice
rozejm truce
rozgniewany angry
rozgraniczenie demarcation
rozgrzeszenie absolution
rozgwiazda starfish
rozgłos fame
rozjemca arbitrator
rozjemca mediator
rozkosz delight
rozkosz joy
rozkosz pleasure
rozmach momentum
rozmaity diverse
rozmaity various
rozmaryn rosemary
rozmarzenie daydream
rozmiar size
rozmnażanie reproduction
rozmowa conversation
rozmowa discussion
rozpacz despair
rozpacz desperation
rozpacz distress
rozpiętość span
rozpoczęcie beginning
rozpoczęcie inception
rozpoczęcie start
rozproszenie dispersal
rozproszenie dispersion
rozpuszczalnik solvent
rozpuszczalny soluble
rozradowanie jubilation
rozrywka amusement
rozrywka entertainment
rozrywka pastime
rozrzutny extravagant
rozrzutny prodigal
rozrzutny profligate
rozrzutny wasteful
rozróżnianie differentiation
rozszczepienie fission
rozszerzenie dilation
rozszerzenie expansion
rozsądny rational
rozsądny reasonable
rozsądny sensible
roztropnie isedly
roztropność discretion
roztropność prudence
roztropny circumspect
roztropny prudent
rozważny cautious
rozważny prudent
rozważny sensible
rozwinięty developed
rozwiązłość licentiousness
rozwód divorce
rozwój development
rozwój progress
roślina plant
roślinożerca herbivore
roślinożerny herbivorous
rośliny plants
rubin ruby
ruchliwość mobility
ruchomy movable
ruch movement
ruch traffic
rudawy reddish
ruda ore
rufa stern
rumba rumba
Rumunia Romania
rum rum
rura tube
rwetes ado
rybak fisherman
ryba fish
Rybnik Rybnik
ryboflawina riboflavin
rybołówstwo fishery
rybołówstwo fishing
rycerz knight
rychło promptly
rychło soon
Ryga Riga
rygiel bolt
rylec burin
rym rhyme
rynek market
ryngraf gorget
rysa scratch
rysunek depiction
rysunek picture
Ryszard Richard
rytm rhythm
rytualnie ceremonially
rytualnie ritually
rytualny ritual
rytuał ritual
rywalizacja rivalry
rywalizujący rival
ryzykowny risky
ryzyko risk
ryś lynx
ryż rice
rzadki rare
rzadko rarely
rzadko seldom
rzadkość rarity
rzeczka rivulet
rzecznik ocate
rzeczownik noun
rzeczoznawca surveyor
rzeczywistość reality
rzeczywiście indeed
rzeczywiście really
rzeczy things
rzecz thing
rzekomo allegedly
rzekomy alleged
rzepa turnip
rzezimieszek mugger
rzeźnia abattoir
rzeźnia slaughterhouse
rzodkiew radish
rzygacz gargoyle
Rzym Rome
rzęsa eyelash
rzęsy eyelashes
ród ancestry
róg corner
róg horn
równanie equation
równie equally
również also
również likewise
równikowy equatorial
równik Equator
równocześnie simultaneously
równokątny isogonal
równolegle parallel
równoległobok rhomboid
równoległy parallel
równoleżnik parallel
równowaga equilibrium
równoważny equivalent
równość equality
równy equal
równy level
rów ditch
rów trench
róża rose
różnica difference
różnorodność variety
różnorodny diverse
różnorodny heterogeneous
różny different
różny various
różowy pink
róż rouge
rękawica glove
rękawiczka glove
rękawiczki gloves
rękawy sleeves
rękaw sleeve
rękaw windsock
ręka arm
ręka hand
sabotażysta saboteur
sabotaż sabotage
sabot sabot
sacharoza saccharose
sacharoza sucrose
sadza soot
sadzonka seedling
sad orchard
safari safari
sago sago
Sahara Sahara
salamandra salamander
saldo balance
Salomon Solomon
salut salute
sam alone
samica female
samiec male
Samoa Samoa
samobójczy suicidal
samochód car
samochód vehicle
samodzielny independent
samogłoska vowel
samolot aeroplane
samolot aircraft
samolot plane
samolubny selfish
samolubstwo selfishness
samotnie solo
samotnik loner
samotnik recluse
samotność loneliness
samotny lonely
samotny solitary
samouk autodidact
samozadowolenie complacency
sanatorium sanatorium
sandał sandal
saneczkarstwo luge
Sanhedryn Sanhedrin
sanskryt Sanskrit
Sarawak Sarawak
Sardynia Sardinia
sardynka sardine
sarkastyczny sarcastic
sarkazm sarcasm
sarkofag sarcophagus
sarkoma sarcoma
sarmatyzm Sarmatism
sarnina venison
saszetka sachet
sataniczny satanic
satanistyczny satanic
satelita satellite
Saturn Saturn
satyna satin
satyra satire
satyryczny satirical
satyr satyr
satysfakcja satisfaction
satysfakcjonujący satisfying
sauna sauna
sauna sauna
sawanna savannah
sawanna savanna
sałata lettuce
sałatka salad
scenariusz screenplay
scenariusz script
scena stage
scenografia scenography
scenopis script
schizma schism
schizofrenia schizophrenia
schizofreniczny schizophrenic
schizofrenik schizophrenic
schludny tidy
scholastyczny scholastic
scholastyka scholasticism
schorzenie disease
schronienie haven
schronienie shelter
schwytanie capture
scieżka path
scjentologia scientology
secans secant
sedacja sedation
sedno crux
sedymentacja sedimentation
segregacja segregation
sejsmiczny seismic
sejsmograf seismograph
sejsmologia seismology
sekciarski sectarian
sekciarstwo sectarianism
sekcja section
seksizm sexism
seks sex
sekta sect
sekunda second
sekwencyjny sequential
selekcja selection
seler celeriac
seminarium seminar
seminarium tutorial
senator senator
sennie sleepily
senność sleepiness
senny sleepy
sensacja sensation
sensowny reasonable
sens sense
sen dream
sen sleep
serbski Serb
serbski Serbian
Serb Serbian
Serb Serb
serdecznie cordially
serenada serenade
serial serial
serial series
sernik cheesecake
serwetka napkin
serwetka serviette
ser cheese
serża serge
sfatygowany shabby
sfinks sphinx
sherry sherry
siatkówka retina
siatkówka volleyball
siedlisko habitat
siekacz incisor
siekiera axe
siennik palliasse
sierociniec orphanage
sierota orphan
siewka plover
sieć net
sieć network
silikonowy silicone
silnik engine
silny strong
silos silo
Singapurczyk Singaporean
singapurski Singaporean
Singapur Singapore
siniak bruise
sinologia Sinology
sinus sine
siostra sister
siła strength
siłownik actuator
sjesta siesta
skafander anorak
skalar scalar
skalniak rockery
skalpel scalpel
skamielina fossil
skamieniałość fossil
skamieniałość petrification
skandalicznie scandalously
skandaliczny scandalous
skandal scandal
skaner scanner
skarb treasure
skarcenie admonition
skarcenie castigation
skarga complaint
skarpa cliff
skarpeta sock
skateboard skateboard
skażenie contamination
sklejka plywood
sklepienie vault
sklep shop
skok jump
skok leap
skomlenie whimper
