tabaka snuff
tabletka tablet
taboret stool
taczka wheelbarrow
Tadżykistan Tajikistan
tafta taffeta
Tahiti Tahiti
tajemnica secret
tajemniczość secrecy
tajemniczy mysterious
tajemniczy secretive
tajfun typhoon
tajga taiga
Tajlandczyk Thai
Tajlandia Thailand
tajlandzki Thai
tajny confidential
Tajwan Taiwan
taki as
taki so
taki such
taksonomia taxonomy
taksydermia taxidermy
taktomierz metronome
taktownie tactfully
taktowny tactful
taktyka strategy
taktyka tactic
taktyk tactician
takt tact
także also
talerz cymbal
talerz plate
talia waist
Tallinn Tallinn
Talmud Talmud
tama dam
tamburyn tambourine
Tamiza Thames
tampon tampon
tam there
tancerz dancer
tandetny shoddy
tangens tangent
tango tango
tani cheap
taniec dance
tanio cheap
tanio cheaply
tankowiec tanker
tapeta wallpaper
tapicerka upholstery
tapioka tapioca
tapiseria tapestry
taras terrace
tarcie friction
targi fair
targowisko marketplace
tarka grater
tasiemiec tapeworm
tatuś daddy
tautologia tautology
tautologiczny tautological
tawerna tavern
tchórzostwo cowardice
tchórz coward
tchórz polecat
teatralny theatrical
techniczny technical
technika technique
technologia technology
Teksas Texas
tekst text
telegrafia telegraphy
telegram telegram
teleologia teleology
teleologiczny teleological
telepatia telepathy
teleskop telescope
teletekst teletext
telewizja television
temat topic
temblak sling
temperament temper
temperatura temperature
tendencja tendency
tenis tennis
tenor tenor
teodolit theodolite
teokracja theocracy
teokratyczny theocratic
teologia theology
teologiczny theological
teolog theologist
teoretyczny theoretical
teoria theory
terapeutyczny therapeutic
terapia therapy
teratogeniczny teratogenic
teraz now
tercet trio
terminarz agenda
terminologia terminology
termit termite
termochemiczny thermochemical
termochromatografia thermochromatography
termodynamiczny thermodynamic
termodynamika thermodynamics
termometr thermometer
termostat thermostat
terpentyna turpentine
terrorysta terrorist
terroryzm terrorism
terroryzowanie terrorization
test test
tetradekan tetradecane
tetrametr tetrameter
też also
thriller thriller
tiara tiara
tiulowy tulle
tiul tulle
tkactwo weaving
tkanina fabric
tkanka tissue
tlenek oxide
toaleta lavatory
toffi butterscotch
toffi toffee
toksyczność toxicity
toksyczny toxic
tolerancja tolerance
tolerancja toleration
tolerancyjny tolerant
tonacja pitch
tona tonne
Tonga Tonga
topaz topaz
topola poplar
torbacz marsupial
torba bag
torebka handbag
torf peat
tornado tornado
torpeda torpedo
tortura torture
tort cake
toster toaster
totalitaryzm totalitarianism
totem totem
toteż hence
towary goods
towarzyski sociable
towarzyszenie companionship
towarzysz companion
towarzysz comrade
towarzyszący accompanying
tożsamość identity
trachoma trachoma
tradycja tradition
tradycyjnie traditionally
tradycyjny traditional
tragedia tragedy
tragicznie tragically
tragiczny tragic
traktat treaty
traktor tractor
trampolina trampoline
transakcja transaction
transformacja transformation
transformator transformer
translokacja translocation
transmisja transmission
transport transport
transsubstancjacja transubstantiation
traszka newt
trawa grass
trawienie digestion
trawnik lawn
trałowiec minesweeper
trejaż trellis
treliaż trellis
trend tendency
treningowy training
triangulacja triangulation
tridekan tridecane
trimaran trimaran
trio trio
trochej trochee
trochę slightly
trofeum trophy
trombocytopenia thrombocytopenia
trombocyt platelet
trombocyt thrombocyte
tromboplastyna thromboplastin
tron throne
tropikalny tropical
troposfera troposphere
trop clue
troska care
troska solicitude
trucizna poison
trucizna toxin
trudność difficulty
trudność hardship
trudny difficult
trud effort
trud trouble
truizm truism
trujący poisonous
trujący toxic
trumna coffin
truskawka strawberry
truskawkowy strawberry
trwale constantly
trwały durable
trwoga fright
trycykl tricycle
trygonometria trigonometry
trylit trilithon
tryton newt
tryton tritone
Tryton Triton
trzeźwy sober
trzmiel bumblebee
trzustka pancreas
trzustkowy pancreatic
trójbój triathlon
trójkątny triangular
trójkąt triangle
trójnóg tripod
trójząb trident
trąd leprosy
trębacz trumpeter
trędowaty leprous
tsunami tsunami
tubylczy indigenous
tu here
tulipan tulip
tundra tundra
tunel tunnel
Tunezja Tunisia
Tunezyjczyk Tunisian
tunezyjski Tunisian
turban turban
turecki Turkish
Turek Turk
turniej tournament
turystyczny tourist
turystyka tourism
turzyca sedge
tutejszy local
tułów trunk
tuż nearby
twarz face
tweedowy tweed
tweet tweet
twierdza fortress
twierdza stronghold
twierdzenie proposition
twierdzenie theorem
twórca creator
Tybet Tibet
tygodniowo weekly
tygodniowy weekly
tygrysica tigress
tygrys tiger
tylko just
tylko merely
tylko only
tymczasem meanwhile
tymczasowo temporarily
tymczasowy temporary
tymianek thyme
typowy typical
typ type
tyrada tirade
tyrania tyranny
tyran tyrant
tysiąclecie millennium
tytaniczny titanic
tytuł title
tęcza rainbow
tęczówka iris
tęsknota longing
tęsknota yearning
tęskny wistful
tętniak aneurysm
tętnica artery
tętniczy arterial
tężec tetanus
tłok piston
tłumaczenie translation
tłum crowd
tłuszcz fat
ubaw fun
ubezpieczenie insurance
ubiegły past
ubogi indigent
ubogi scanty
ubranie clothing
ubóstwo indigence
ubóstwo poverty
ucho ear
uchwała resolution
uchwyt handle
ucieczka escape
uciekinier escapee
uciążliwy burdensome
uciążliwy troublesome
uczciwie honestly
uczciwy honest
uczennica schoolgirl
uczestnictwo participation
uczestnik participant
uczoność erudition
uczta feast
uczucie feeling
uczulenie allergy
uczynek deed
udany successful
udawanie affectation
udawanie histrionics
uderzająco strikingly
uderzenie hit
udogodnienie convenience
udoskonalenie improvement
udo thigh
udręczony harassed
udręka anguish
uduszenie asphyxiation
uduszenie suffocation
udział part
udział share
ufnie confidently
ufnie trustfully
ufność confidence
ufny trustful
ugoda settlement
ugryzienie bite
ujarzmienie subjugation
ujawnienie disclosure
ujeżdżanie dressage
ujście estuary
ujściowy estuarine
ukochany beloved
ukośny transverse
ukradkiem furtively
ukradkiem stealthily
ukradkowy furtive
ukradkowy stealthy
ukradkowy surreptitious
Ukraina Ukraine
ukąszenie bite
układowy systemic
ulepszenie enhancement
ulepszenie improvement
ulewa downpour
ulga relief
uliczka alley
ulistnienie foliage
ulotka leaflet
ultradźwiękowy ultrasound
ultrafioletowy ultraviolet
ultramaryna ultramarine
ultramarynowy ultramarine
ul beehive
ul hive
umeblowany furnished
umiarkowany temperate
umiejętności skills
umocnienie consolidation
umocnienie fortification
umocnienie reinforcement
umocnienie validation
umowa agreement
umowa contract
umrzyk corpse
umundurowany uniformed
umysłowo mentally
umyślnie deliberately
undekan undecane
uniesienie elation
uniesienie exultation
unieważnienie abrogation
unieważnienie annulment
unieważnienie invalidation
unieważnienie revocation
unikatowy unique
uniwersalny versatile
uniwersytet university
uniżenie humbly
uogólnienie generalization
upalny sweltering
uparcie stubbornly
uparty headstrong
uparty stubborn
upał heat
upierzenie plumage
upiorny ghostly
upiór ghost
upiększenie beautification
upodobanie liking
upodobanie preference
upokorzenie humiliation
upokorzenie mortification
upominający admonitory
upominek gift
upomnienie admonishment
upomnienie admonition
upomnienie rebuke
upomnienie reprimand
upoważnienie authorization
