wabik lure
wada defect
wada diantage
wada downside
wada drawback
wada flaw
wadliwy faulty
wafel wafer
wagarowanie truancy
wagina vagina
wahadło pendulum
wahanie hesitation
wakacje vacation
walczący militant
walc waltz
waleczny brave
Walia Wales
Walijka Welshwoman
walijski Welsh
walizka suitcase
walka battle
walka combat
walka struggle
waluta currency
wampir vampire
wandalizm vandalism
wanilia vanilla
wanna bath
wanna bathtub
warga lip
wargi lips
wariacja variation
warkocz plait
Warmia Ermeland
Warszawa Warsaw
warszawski Warsaw
warsztat workshop
wartość value
warunek requirement
warunek stipulation
warunki conditions
warunkowy conditional
Waszyngton Washington
wałach gelding
ważka dragonfly
ważki important
ważność importance
ważność relevance
ważność significance
ważność validity
ważny important
ważny significant
ważny valid
wciąż still
wczesny early
wcześnie early
wcześniej earlier
wczoraj yesterday
wdowa widow
wdowiec widower
wdzięcznie gratefully
wdzięczność gratitude
wdzięczność thankfulness
wdzięczny grateful
wdzięczny thankful
wejście foyer
wektor vector
wellness wellness
welon veil
welwet velveteen
wendeta vendetta
Wenecja Venice
Wenezuela Venezuela
Wenezuelczyk Venezuelan
wenezuelski Venezuelan
wentylacja ventilation
Wenus Venus
werdykt verdict
Wersal Versailles
weryfikacja verification
wesele wedding
wesoło cheerfully
wesoły cheerful
westchnienie sigh
westchnięcie sigh
wesz louse
wewnątrz inside
wezwanie summons
wełna wool
Wełtawa Vltava
wgląd insight
wiadomość message
wiadro bucket
wiadro pail
wiara belief
wiarogodnie credibly
wiarogodny credible
wiarygodność credibility
wiarygodny credible
wiatrakowiec autogyro
wiatrakowiec gyroplane
wiatrak windmill
wiatromierz anemometer
wiatr wind
widocznie apparently
widoczny apparent
widoczny visible
widok vista
widowisko spectacle
widzialność visibility
widły pitchfork
wiecznie eternally
wieczność eternity
wieczny eternal
wieczny everlasting
wieczorowy evening
wieczór evening
wiejski rural
wiek age
wielbłąd camel
wiele many
Wielkanoc Easter
wielki large
wielkość magnitude
wielkość size
wielobarwny polychromatic
wielojęzyczny multilingual
wielokrotnie repeatedly
wielokulturowość multiculturalism
wielokulturowy multicultural
wielokąt polygon
wieloryb whale
wielosłowie verbiage
wielosłowność verbosity
wieloznaczny ambiguous
